"month1","day1","sunrise1","sunset1"
"01","01","07:14","16:23"
"01","02","07:14","16:23"
"01","03","07:14","16:24"
"01","04","07:14","16:25"
"01","05","07:14","16:26"
"01","06","07:14","16:27"
"01","07","07:14","16:28"
"01","08","07:14","16:29"
"01","09","07:13","16:30"
"01","10","07:13","16:31"
"01","11","07:13","16:32"
"01","12","07:13","16:34"
"01","13","07:12","16:35"
"01","14","07:12","16:36"
"01","15","07:11","16:37"
"01","16","07:11","16:38"
"01","17","07:11","16:39"
"01","18","07:10","16:41"
"01","19","07:09","16:42"
"01","20","07:09","16:43"
"01","21","07:08","16:44"
"01","22","07:07","16:46"
"01","23","07:07","16:47"
"01","24","07:06","16:48"
"01","25","07:05","16:49"
"01","26","07:04","16:51"
"01","27","07:03","16:52"
"01","28","07:03","16:53"
"01","29","07:02","16:54"
"01","30","07:01","16:56"
"01","31","07:00","16:57"
"02","01","06:59","16:58"
"02","02","06:58","17:00"
"02","03","06:57","17:01"
"02","04","06:56","17:02"
"02","05","06:54","17:04"
"02","06","06:53","17:05"
"02","07","06:52","17:06"
"02","08","06:51","17:07"
"02","09","06:50","17:09"
"02","10","06:48","17:10"
"02","11","06:47","17:11"
"02","12","06:46","17:13"
"02","13","06:44","17:14"
"02","14","06:43","17:15"
"02","15","06:42","17:17"
"02","16","06:40","17:18"
"02","17","06:39","17:19"
"02","18","06:38","17:20"
"02","19","06:36","17:22"
"02","20","06:35","17:23"
"02","21","06:33","17:24"
"02","22","06:32","17:25"
"02","23","06:30","17:27"
"02","24","06:29","17:28"
"02","25","06:27","17:29"
"02","26","06:25","17:30"
"02","27","06:24","17:32"
"02","28","06:22","17:33"
"03","01","06:21","17:34"
"03","02","06:19","17:35"
"03","03","06:18","17:37"
"03","04","06:16","17:38"
"03","05","06:14","17:39"
"03","06","06:13","17:40"
"03","07","06:11","17:41"
"03","08","06:09","17:43"
"03","09","06:08","17:44"
"03","10","06:06","17:45"
"03","11","06:04","17:46"
"03","12","06:02","17:47"
"03","13","06:01","17:48"
"03","14","05:59","17:50"
"03","15","05:57","17:51"
"03","16","05:56","17:52"
"03","17","05:54","17:53"
"03","18","05:52","17:54"
"03","19","05:50","17:55"
"03","20","05:49","17:57"
"03","21","05:47","17:58"
"03","22","05:45","17:59"
"03","23","05:44","18:00"
"03","24","05:42","18:01"
"03","25","05:40","18:02"
"03","26","05:38","18:03"
"03","27","05:37","18:04"
"03","28","05:35","18:06"
"03","29","05:33","18:07"
"03","30","05:31","18:08"
"03","31","05:30","18:09"
"04","01","05:28","18:10"
"04","02","05:26","18:11"
"04","03","05:24","18:12"
"04","04","05:23","18:14"
"04","05","05:21","18:15"
"04","06","05:19","18:16"
"04","07","05:18","18:17"
"04","08","05:16","18:18"
"04","09","05:14","18:19"
"04","10","05:13","18:20"
"04","11","05:11","18:21"
"04","12","05:09","18:23"
"04","13","05:08","18:24"
"04","14","05:06","18:25"
"04","15","05:04","18:26"
"04","16","05:03","18:27"
"04","17","05:01","18:28"
